eregistry_key,irn,Levels,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Value,SummaryData,AdmImportIdentifier,AdmInsertedBy,AdmDateInserted,AdmTimeInserted,AdmDateModified,AdmTimeModified,AdmModifiedBy,OwnerId,AdmPublishWebNoPassword,AdmPublishWebPassword,SecRecordStatus,AdmSystemIdentifier
1,57751,5,"Group","Admin","Project","dmns-barcoding","Role","","","","","","lead","Group|Admin|Project|dmns-barcoding|Role|lead","","emu",2018-12-05,"07:41:31",2018-12-05,"07:41:31","emu","emu","","","",""
2,1025,6,"Group","Admin","Table","Default","Column Access","Default","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|Default|Column Access|Default|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2024-03-05,"12:08:06","Laura Rocha Prado","emu","","","",""
3,1026,6,"Group","Admin","Table","Default","Lookup","Default","","","","","readwrite","Group|Admin|Table|Default|Lookup|Default|readwrite","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
4,1027,5,"Group","Admin","Table","Default","Operations","","","","","","daDefaults;daDelete;daDesign;daDisplay;daDittoAll;daEdit;daEditHelp;daEditQuery;daExport;daImport;daInsert;daMerge;daQuery;daRecall;daReplace;daReport;daSecurity;daTemplates","Group|Admin|Table|Default|Operations|daDefaults;daDelete;daDesign;daDisplay;daDittoAll;daEdit;daEditHelp;daEditQuery;daExport;daImport;daInsert;daMerge;daQuery;daRecall;daReplace;daReport;daSecurity;daTemplates","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
5,1028,6,"Group","Admin","Table","Default","Tabs","Default","","","","","All","Group|Admin|Table|Default|Tabs|Default|All","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
6,1029,6,"Group","Admin","Table","eaccessionlots","Column Access","AcqAcquisitionMethod","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|eaccessionlots|Column Access|AcqAcquisitionMethod|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
7,50898,6,"Group","Admin","Table","eaccessionlots","Report","Accession Report LIST","","","","","Crystal#LotLotNumber;TraDmnsTransactionType;TraDmnsStatusDate;AccDmnsDateReceived;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionDescription;AcqRestrictionsProvisosRef_tab.erights.!SummaryData;Group1=[AcqSourceRef_tab.eparties.SummaryData,AcqSourceRole_tab]##-1#Accession Summary LIST.rpt##","Group|Admin|Table|eaccessionlots|Report|Accession Report LIST|Crystal#LotLotNumber;TraDmnsTransactionType;TraDmnsStatusDate;AccDmnsDateReceived;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionDescription;AcqRestrictionsProvisosRef_tab.erights.!SummaryData;Group1=[AcqSourceRef_tab.eparties.SummaryData,AcqSourceRole_tab]##-1#Accession Summary LIST.rpt##","","Veronika Hall",2018-09-18,"16:48:28",2018-09-18,"16:48:28","Veronika Hall","vhall","","","",""
8,50904,6,"Group","Admin","Table","eaccessionlots","Report","Accession Report ONE PAGE","","","","","Crystal#LotLotNumber;TraDmnsStatusDate;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionType;AccDmnsDateReceived;PurDmnsValueCategory;TraDmnsTransactionDescription;TraDmnsNotes;AccDmnsRestrictions;AcqRestrictionsProvisosRef_tab.erights.SummaryData;Group1=[AcqSourceRef_tab.eparties.SummaryData,AcqSourceRole_tab]##-1#Accession Report ONE PAGE.rpt##","Group|Admin|Table|eaccessionlots|Report|Accession Report ONE PAGE|Crystal#LotLotNumber;TraDmnsStatusDate;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionType;AccDmnsDateReceived;PurDmnsValueCategory;TraDmnsTransactionDescription;TraDmnsNotes;AccDmnsRestrictions;AcqRestrictionsProvisosRef_tab.erights.SummaryData;Group1=[AcqSourceRef_tab.eparties.SummaryData,AcqSourceRole_tab]##-1#Accession Report ONE PAGE.rpt##","","Veronika Hall",2018-09-18,"16:48:40",2018-09-18,"16:48:40","Veronika Hall","vhall","","","",""
9,50911,6,"Group","Admin","Table","eaccessionlots","Report","Accession Summary DONOR CONTACT","","","","","Export CSV#Group1=[LotLotNumber,TraDmnsTransactionType,@SecDepartment_tab,TraDmnsCollection,AccDmnsDateReceived,TraDmnsTransactionDescription,PurDmnsValueCategory,AcqSourceRef_tab.eparties.(SummaryData,AddEmail,NamHome,@NamBusiness_tab,AddPhysStreet,AddPhysCity,AddPhysState,AddPhysPost,AddPhysCountry),AcqSourceRole_tab,AccDmnsRestrictions]##-1###","Group|Admin|Table|eaccessionlots|Report|Accession Summary DONOR CONTACT|Export CSV#Group1=[LotLotNumber,TraDmnsTransactionType,@SecDepartment_tab,TraDmnsCollection,AccDmnsDateReceived,TraDmnsTransactionDescription,PurDmnsValueCategory,AcqSourceRef_tab.eparties.(SummaryData,AddEmail,NamHome,@NamBusiness_tab,AddPhysStreet,AddPhysCity,AddPhysState,AddPhysPost,AddPhysCountry),AcqSourceRole_tab,AccDmnsRestrictions]##-1###","","Veronika Hall",2018-09-18,"16:48:53",2018-09-18,"16:48:53","Veronika Hall","vhall","","","",""
10,50916,6,"Group","Admin","Table","eaccessionlots","Report","Accession Summary NO PARTIES","","","","","Export CSV#LotLotNumber;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionType;TraDmnsStatusDate;AccDmnsDateReceived;PurDmnsValueCategory;TraDmnsTransactionDescription;TraDmnsNotes##-1###","Group|Admin|Table|eaccessionlots|Report|Accession Summary NO PARTIES|Export CSV#LotLotNumber;@SecDepartment_tab;TraDmnsCollection;TraDmnsTransactionType;TraDmnsStatusDate;AccDmnsDateReceived;PurDmnsValueCategory;TraDmnsTransactionDescription;TraDmnsNotes##-1###","","Veronika Hall",2018-09-18,"16:49:08",2018-09-18,"16:49:08","Veronika Hall","vhall","","","",""
